numero,titulo,resumen,url,fecha,seccion
17,Nuevas oportunidades para familias vulnerables,El Programa Nacional de Apoyo Directo a los Más Pobres-Juntos del Ministerio de Desarrollo e Inclusión Social (Midis) consiste en transferencias condicionadas que entrega 200 soles bimensuales a sus h,https://elperuano.pe/noticia/287685-nuevas-oportunidades-para-familias-vulnerables,22/01/2026,Central
18,Midagri: Exportaciones de café batieron récord en ventas durante el 2025,"Las exportaciones de café podrían alcanzar un nuevo récord en el 2025. En los primeros once meses del (enero-noviembre), las ventas por exportaciones de café sumaron US$ 1,579 millones, cifra que repr",https://elperuano.pe/noticia/287684-midagri-exportaciones-de-cafe-batieron-record-en-ventas-durante-el-2025,22/01/2026,Economía
19,Primera infracción tributaria: SUNAT aplicará capacitación en lugar de multa o cierre. Infórmate,"A fin de evitar la aplicación de sanciones por infracciones cometidas por primera vez, la Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT) impartirá un curso de capacitación",https://elperuano.pe/noticia/287682-primera-infraccion-tributaria-sunat-aplicara-capacitacion-en-lugar-de-multa-o-cierre-informate,22/01/2026,Derecho
20,Pronabec: 9 de cada 10 beneficiarios que eligieron carreras técnicas ya son profesionales,"Más de 52 000 peruanos accedieron a carreras técnicas con el apoyo de becas y créditos del Programa Nacional de Becas y Crédito Educativo (Pronabec) del Ministerio de Educación. De ellos, 9 de cada 10",https://elperuano.pe/noticia/287681-pronabec-9-de-cada-10-beneficiarios-que-eligieron-carreras-tecnicas-ya-son-profesionales,22/01/2026,País
21,Javier Prado: este lunes 26 se inician desvíos por obras de vía rápida en La Molina,"Este lunes 26 de enero se dará inicio a una marcha blanca del plan de desvío vehicular en la avenida Javier Prado, como parte de la ejecución del proyecto vía rápida Javier Prado, entre las avenidas L",https://elperuano.pe/noticia/287680-javier-prado-este-lunes-26-se-inician-desvios-por-obras-de-via-rapida-en-la-molina,22/01/2026,Actualidad
22,Normas legales: aceptan renuncia de presidente del Consejo Nacional Penitenciario del INPE,El Ministerio de Justicia y Derechos Humanos (Minjusdh) aceptó la renuncia presentada por Emilio Iván Paredes Yataco al cargo de presidente del Consejo Nacional Penitenciario del Instituto Nacional Pe,https://elperuano.pe/noticia/287679-normas-legales-aceptan-renuncia-de-presidente-del-consejo-nacional-penitenciario-del-inpe,22/01/2026,Política
23,Abren convocatoria para seleccionar al operador del Programa de Apoyo a la Internacionalización,"El Ministerio de Comercio Exterior y Turismo (Mincetur) inició la convocatoria pública que permitirá seleccionar al operador de una nueva edición del Programa de Apoyo a la Internacionalización (PAI),",https://elperuano.pe/noticia/287678-abren-convocatoria-para-seleccionar-al-operador-del-programa-de-apoyo-a-la-internacionalizacion,22/01/2026,Economía
24,Peruanos en el extranjero: ahora puedes solicitar apoyo legal ante el consulado si lo necesitas,"El Poder Ejecutivo aprobó el reglamento de la Ley Nº 31821 mediante el Decreto Supremo Nº 003-2026-RE, con el objetivo de reforzar la protección de los derechos de las personas adultas mayores y de la",https://elperuano.pe/noticia/287677-peruanos-en-el-extranjero-ahora-puedes-solicitar-apoyo-legal-ante-el-consulado-si-lo-necesitas,22/01/2026,Derecho
25,El médico peruano que cambia vidas en Colombia,"Los logros personales y profesionales serían tema más que suficiente para esta conversación, pero el doctor Rubén Berrospi la inicia con una máxima que asegura ha regido no solo su vida personal, sino",https://elperuano.pe/noticia/287675-el-medico-peruano-que-cambia-vidas-en-colombia,22/01/2026,Central
26,Líderes de la UE se reúnen en cumbre de urgencia,"Los líderes de la Unión Europea (UE) se reúnen en una cumbre extraordinaria en Bruselas para abordar la crisis desencadenada por las amenazas sobre Groenlandia del presidente estadounidense, Donald Tr",https://elperuano.pe/noticia/287671-lideres-de-la-ue-se-reunen-en-cumbre-de-urgencia,22/01/2026,Mundo
27,Potencian conectividad aérea entre España y Perú,"El Ministerio de Transportes y Comunicaciones (MTC), mediante la Dirección General de Aeronáutica Civil, informó que las autoridades aeronáuticas del Perú y España han suscrito un acta final que elimi",https://elperuano.pe/noticia/287666-potencian-conectividad-aerea-entre-espana-y-peru,22/01/2026,Economía
28,(16:14) Ministro Tiburcio: control a motos permite reforzar lucha contra la extorsión y sicariato,(16:14) Ministro Tiburcio: control a motos permite reforzar lucha contra la extorsión y sicariato,http://andina.pe/agencia/noticia-ministro-tiburcio-control-a-motos-permite-reforzar-lucha-contra-extorsion-y-sicariato-1060309.aspx,N/A,General
29,Presidente Jerí: Estrategia articulada contra la delincuencia esta dando resultados,"El presidente de la república, José Jerí, resaltó hoy que la estrategia impulsada por su Gobierno, en coordinación con diferentes instituciones, y medidas como los estados de emergencia están empezand",https://elperuano.pe/noticia/287698-presidente-jeri-estrategia-articulada-contra-la-delincuencia-esta-dando-resultados,22/01/2026,Política
30,FITUR 2026: Perú y República Dominicana sellan alianza para potenciar un turismo competitivo,"En el marco de la Feria Internacional de Turismo – FITUR 2026, que se realiza en Madrid (España), el Perú dio un nuevo paso en su estrategia de fortalecimiento del sector turismo al suscribir un Memor",https://elperuano.pe/noticia/287695-fitur-2026-peru-y-republica-dominicana-sellan-alianza-para-potenciar-un-turismo-competitivo,22/01/2026,Economía
31,Minsa: usuarios de transporte público deben abrir ventanas para prevenir tuberculosis,El Ministerio de Salud (Minsa) recomendó a los usuarios de los servicios de transporte público abrir las ventanas para ventilar las unidades y así evitar exponerse a distintas enfermedades respiratori,https://elperuano.pe/noticia/287690-minsa-usuarios-de-transporte-publico-deben-abrir-ventanas-para-prevenir-tuberculosis,22/01/2026,Actualidad
32,La escasez de recursos naturales agudiza conflictos en el planeta,La operación militar en Venezuela confirma una vez más que estamos en camino a un gran conflicto mundial. ¿El motivo? La disputa de territorios con recursos naturales geoestratégicos que se agotan por,https://elperuano.pe/noticia/287674-la-escasez-de-recursos-naturales-agudiza-conflictos-en-el-planeta,22/01/2026,Opinión
33,"Gestión laboral moderna: bienestar, flexibilidad y capacitación como ventaja competitiva","El mercado laboral peruano atraviesa un cambio silencioso pero profundo. Para los profesionales menores de 35 años, elegir una empresa ya no pasa solo por el salario o el cargo, sino por la experienci",https://elperuano.pe/noticia/287689-gestion-laboral-moderna-bienestar-flexibilidad-y-capacitacion-como-ventaja-competitiva,22/01/2026,Derecho
34,Dos nuevas patrulleras incorpora la Marina para luchar contra las actividades ilícitas en el mar,"La Marina de Guerra del Perú incorporó las patrulleras marítimas B.A.P. Río Huarmey y B.A.P. Río Nepeña, destinadas a velar por la seguridad de la vida humana en el mar, la protección del medio ambien",https://elperuano.pe/noticia/287700-dos-nuevas-patrulleras-incorpora-la-marina-para-luchar-contra-las-actividades-ilicitas-en-el-mar,22/01/2026,País
35,Líderes de la UE se reúnen en cumbre de urgencia,"Los líderes de la Unión Europea (UE) se reúnen en una cumbre extraordinaria en Bruselas para abordar la crisis desencadenada por las amenazas sobre Groenlandia del presidente estadounidense, Donald Tr",https://elperuano.pe/noticia/287671-lideres-de-la-ue-se-reunen-en-cumbre-de-urgencia,22/01/2026,Mundo
36,"Alianza Lima separa indefinidamente a Zambrano, Trauco y Peña tras denuncia de violencia sexual","Alianza Lima este anunció jueves que inició un proceso disciplinario a Carlos Zambrano, Miguel Trauco y Sergio Peña y confirmó la separación indefinida de cada uno de ellos. Además, la institución ínt",https://elperuano.pe/noticia/287693-alianza-lima-separa-indefinidamente-a-zambrano-trauco-y-pena-tras-denuncia-de-violencia-sexual,22/01/2026,Deportes
37,Nuevas oportunidades para familias vulnerables,El Programa Nacional de Apoyo Directo a los Más Pobres-Juntos del Ministerio de Desarrollo e Inclusión Social (Midis) consiste en transferencias condicionadas que entrega 200 soles bimensuales a sus h,https://elperuano.pe/noticia/287685-nuevas-oportunidades-para-familias-vulnerables,22/01/2026,Central
38,Investigadores de la UNI desarrollan telas con protección UV y propiedades antimicrobianas a bajo costo,"El proyecto logró escalar a nivel industrial gracias al financiamiento del programa ProCiencia, unidad ejecutora del Concytec.",https://elperuano.pe/noticia/287686-investigadores-de-la-uni-desarrollan-telas-con-proteccion-uv-y-propiedades-antimicrobianas-a-bajo-costo,22/01/2026,Ciencia y Tecnología
